sn,createdts,upload_data,download_data,signal_strength,legacy_devices,stationary_mobile,downlink_phy_rate,max_downlink_phy_rate,uplink_phy_rate,max_uplink_phy_rate,num_clients_connected,son_status,upload_speed,download_speed,latency,channel_switches,wifi_association,son_steer_success_status
DEV_001,2024-09-01 00:00:00,96,59,99,No,Mobile,2,46,1,70,28,52,75,32,73,1,None,None
DEV_001,2024-09-03 12:00:00,34,86,54,No,Mobile,51,6,59,54,80,49,32,63,72,1,None,None
DEV_001,2024-09-06 00:00:00,44,36,15,No,Mobile,45,62,92,50,33,25,21,82,13,1,None,None
DEV_001,2024-09-08 12:00:00,74,72,46,No,Mobile,95,79,42,18,50,45,36,68,27,1,None,None
DEV_001,2024-09-11 00:00:00,12,31,27,No,Mobile,24,41,64,11,30,50,63,50,74,1,None,None
DEV_001,2024-09-13 12:00:00,99,14,76,No,Mobile,75,66,33,13,74,55,67,26,44,1,None,None
DEV_001,2024-09-16 00:00:00,60,77,96,No,Mobile,49,56,57,85,99,24,53,46,8,1,None,None
DEV_001,2024-09-18 12:00:00,1,96,59,No,Mobile,78,33,36,39,78,40,75,60,76,1,None,None
DEV_001,2024-09-21 00:00:00,42,42,57,No,Mobile,77,96,7,51,11,64,82,68,35,1,None,None
DEV_001,2024-09-23 12:00:00,60,56,75,No,Mobile,41,54,17,25,41,31,12,96,86,1,None,None
DEV_001,2024-09-26 00:00:00,20,93,43,No,Mobile,56,24,98,43,67,8,23,56,48,1,None,None
DEV_001,2024-09-28 12:00:00,22,14,34,No,Mobile,86,80,56,53,96,6,63,24,90,1,None,None
DEV_001,2024-10-01 00:00:00,99,66,71,No,Mobile,73,86,33,80,50,88,72,70,47,1,None,None
DEV_001,2024-10-03 12:00:00,48,2,62,No,Mobile,85,13,61,11,98,36,51,97,66,1,None,None
DEV_001,2024-10-06 00:00:00,83,18,82,No,Mobile,83,77,59,11,25,77,2,22,63,1,None,None
DEV_001,2024-10-08 12:00:00,79,23,60,No,Mobile,43,89,94,26,27,17,55,77,28,1,None,None
DEV_001,2024-10-11 00:00:00,40,83,70,No,Mobile,57,48,40,39,75,9,90,88,64,1,None,None
DEV_001,2024-10-13 12:00:00,70,47,5,No,Mobile,64,45,64,45,20,16,51,54,47,1,None,None
DEV_001,2024-10-16 00:00:00,50,43,49,No,Mobile,89,76,55,91,36,67,81,69,92,1,None,None
DEV_001,2024-10-18 12:00:00,96,53,85,No,Mobile,91,11,1,83,43,95,60,44,48,1,None,None
DEV_001,2024-10-21 00:00:00,11,55,99,No,Mobile,25,92,76,87,30,61,21,84,44,1,None,None
DEV_001,2024-10-23 12:00:00,86,2,96,No,Mobile,23,18,83,88,52,6,55,37,33,1,None,None
DEV_001,2024-10-26 00:00:00,58,37,9,No,Mobile,15,88,88,99,69,34,12,84,72,1,None,None
DEV_001,2024-10-28 12:00:00,22,26,63,No,Mobile,46,81,44,62,37,82,14,80,94,1,None,None
DEV_001,2024-10-31 00:00:00,82,53,10,No,Mobile,35,26,44,4,53,29,68,93,11,1,None,None
DEV_001,2024-11-02 12:00:00,81,19,68,No,Mobile,74,55,83,36,28,22,58,21,96,1,None,None
DEV_001,2024-11-05 00:00:00,95,34,84,No,Mobile,56,18,47,72,44,19,25,34,45,1,None,None
DEV_001,2024-11-07 12:00:00,57,50,35,No,Mobile,86,7,53,10,94,39,32,7,30,1,None,None
DEV_001,2024-11-10 00:00:00,80,93,23,No,Mobile,5,85,50,36,17,42,89,25,33,1,None,None
DEV_001,2024-11-12 12:00:00,73,69,11,No,Mobile,19,64,38,10,96,50,81,9,50,1,None,None
DEV_001,2024-11-15 00:00:00,22,84,21,No,Mobile,28,49,23,88,43,2,27,46,86,1,None,None
DEV_001,2024-11-17 12:00:00,6,63,74,No,Mobile,54,19,95,10,48,36,96,74,9,1,Association,None
DEV_001,2024-11-20 00:00:00,17,40,13,Yes,Mobile,18,68,14,5,5,5,53,20,6,1,None,None
DEV_001,2024-11-22 12:00:00,79,46,14,No,Mobile,48,78,71,36,57,53,8,40,25,1,None,None
DEV_001,2024-11-25 00:00:00,91,26,23,No,Mobile,86,20,46,80,47,84,50,93,67,1,None,None
DEV_001,2024-11-27 12:00:00,88,8,56,No,Mobile,82,36,37,32,43,94,90,23,32,1,None,None
DEV_001,2024-11-30 00:00:00,8,3,19,No,Mobile,7,86,90,50,57,75,78,8,1,1,None,None
DEV_001,2024-12-02 12:00:00,46,25,67,No,Mobile,93,99,51,74,90,47,58,78,86,1,None,None
DEV_001,2024-12-05 00:00:00,86,24,16,No,Mobile,2,15,41,63,94,37,3,28,87,1,None,None
DEV_001,2024-12-07 12:00:00,4,21,26,No,Mobile,44,37,78,10,30,50,55,95,28,1,None,None
DEV_001,2024-12-10 00:00:00,37,34,70,No,Mobile,90,75,42,1,18,35,53,94,21,1,None,None
DEV_001,2024-12-12 12:00:00,14,66,54,No,Mobile,88,60,40,45,81,13,3,97,4,1,None,None
DEV_001,2024-12-15 00:00:00,1,89,17,No,Mobile,49,22,33,26,34,30,48,49,79,1,None,None
DEV_001,2024-12-17 12:00:00,20,29,20,No,Mobile,18,4,11,64,29,91,78,62,75,1,None,None
DEV_001,2024-12-20 00:00:00,45,54,61,No,Mobile,4,34,89,8,61,76,34,69,12,1,None,None
DEV_001,2024-12-22 12:00:00,27,83,35,No,Mobile,48,97,23,64,89,59,19,91,93,1,None,None
DEV_001,2024-12-25 00:00:00,44,56,30,No,Mobile,33,37,50,7,13,3,93,44,37,1,None,None
DEV_001,2024-12-27 12:00:00,61,35,52,No,Mobile,33,25,14,93,14,90,7,86,66,1,None,None
DEV_002,2024-09-01 00:00:00,60,12,82,No,Mobile,98,42,54,42,34,39,41,88,62,1,None,None
DEV_002,2024-09-01 12:00:00,13,80,9,No,Mobile,48,32,83,36,74,2,10,4,66,1,None,None
DEV_002,2024-09-02 00:00:00,17,79,61,No,Mobile,61,44,71,3,14,73,98,73,98,1,None,None
DEV_002,2024-09-02 12:00:00,74,19,22,No,Mobile,17,35,39,73,3,9,41,27,3,1,None,None
DEV_002,2024-09-03 00:00:00,69,27,76,No,Mobile,82,8,38,94,62,30,47,14,18,1,None,None
DEV_002,2024-09-03 12:00:00,99,25,73,No,Mobile,61,35,51,15,26,4,36,15,93,1,None,None
DEV_002,2024-09-04 00:00:00,88,26,37,No,Mobile,85,23,65,45,23,18,87,67,82,1,None,None
DEV_002,2024-09-04 12:00:00,12,75,70,No,Mobile,67,15,98,4,11,3,54,5,57,1,None,None
DEV_002,2024-09-05 00:00:00,34,4,48,No,Mobile,49,60,44,34,43,80,91,37,15,1,None,None
DEV_002,2024-09-05 12:00:00,66,31,9,No,Mobile,20,20,47,1,67,9,8,73,29,1,None,None
DEV_002,2024-09-06 00:00:00,38,25,86,No,Mobile,2,89,24,67,9,63,93,12,37,1,None,None
DEV_002,2024-09-06 12:00:00,34,60,33,No,Mobile,21,24,20,68,69,14,87,83,27,1,None,None
DEV_002,2024-09-07 00:00:00,67,54,36,No,Mobile,55,50,86,71,17,96,31,47,38,1,None,None
DEV_002,2024-09-07 12:00:00,90,13,4,No,Mobile,98,64,98,80,30,85,14,12,50,1,None,None
DEV_002,2024-09-08 00:00:00,22,95,92,No,Mobile,45,79,52,71,12,88,2,59,51,1,None,None
DEV_002,2024-09-08 12:00:00,56,10,20,No,Mobile,64,39,86,99,54,9,59,95,47,1,None,None
DEV_002,2024-09-09 00:00:00,54,59,45,No,Mobile,95,80,39,42,73,5,91,35,94,1,None,None
DEV_002,2024-09-09 12:00:00,38,34,19,No,Mobile,3,36,4,26,79,21,91,47,84,1,None,None
DEV_002,2024-09-10 00:00:00,65,26,43,No,Mobile,9,35,82,19,4,77,25,37,11,1,None,None
DEV_002,2024-09-10 12:00:00,28,8,20,No,Mobile,16,13,79,62,29,66,86,29,21,1,None,None
DEV_002,2024-09-11 00:00:00,7,50,8,No,Mobile,71,98,55,48,85,62,15,18,68,1,None,None
DEV_002,2024-09-11 12:00:00,20,21,68,No,Mobile,25,71,71,33,7,2,98,86,74,1,None,None
DEV_002,2024-09-12 00:00:00,31,52,91,No,Mobile,76,8,86,18,91,24,8,67,23,1,None,None
DEV_002,2024-09-12 12:00:00,68,17,30,No,Mobile,39,44,69,37,78,47,88,51,70,1,None,None
DEV_002,2024-09-13 00:00:00,83,8,69,No,Mobile,43,98,50,85,1,62,70,1,87,1,None,None
DEV_002,2024-09-13 12:00:00,69,92,12,No,Mobile,41,3,65,40,4,5,60,33,77,1,None,None
DEV_002,2024-09-14 00:00:00,50,90,20,No,Mobile,62,75,59,25,29,61,88,9,93,1,None,None
DEV_002,2024-09-14 12:00:00,85,69,43,No,Mobile,17,21,6,71,25,74,37,45,96,1,None,None
DEV_002,2024-09-15 00:00:00,80,99,5,No,Mobile,9,4,33,91,57,10,51,34,37,1,None,None
DEV_002,2024-09-16 00:00:00,37,38,27,No,Mobile,13,23,67,87,97,54,94,12,34,1,None,None
DEV_002,2024-09-16 12:00:00,4,58,29,No,Mobile,21,26,96,86,10,41,26,84,85,1,None,None
DEV_002,2024-09-17 00:00:00,26,7,55,No,Mobile,39,4,30,38,52,19,3,13,14,1,None,None
DEV_002,2024-09-17 12:00:00,69,70,89,No,Mobile,54,12,65,54,46,28,52,20,87,1,None,None
DEV_002,2024-09-18 00:00:00,76,80,78,No,Mobile,71,21,21,41,73,37,52,80,23,1,None,None
DEV_002,2024-09-19 00:00:00,4,92,43,No,Mobile,58,62,7,9,76,4,14,1,9,1,None,None
DEV_002,2024-09-19 12:00:00,46,4,93,No,Mobile,11,60,22,5,99,7,84,74,90,1,None,None
