distid,createdts,sn,acs_bid,acs_primary_ch,acs_prev_ch,acs_reason
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,71,88,69,31
DEV_001_2024-09-01 04:00:00,2024-09-01 04:00:00,DEV_001,3,48,61,1
DEV_001_2024-09-01 08:00:00,2024-09-01 08:00:00,DEV_001,83,84,43,65
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,5,78,93,26
DEV_001_2024-09-01 16:00:00,2024-09-01 16:00:00,DEV_001,8,20,5,35
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,47,36,33,18
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,47,12,63,84
DEV_001_2024-09-02 04:00:00,2024-09-02 04:00:00,DEV_001,67,98,31,70
DEV_001_2024-09-02 08:00:00,2024-09-02 08:00:00,DEV_001,27,25,46,41
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,61,93,29,65
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,24,10,89,22
DEV_001_2024-09-02 20:00:00,2024-09-02 20:00:00,DEV_001,51,18,65,70
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,59,87,82,97
DEV_001_2024-09-03 04:00:00,2024-09-03 04:00:00,DEV_001,99,15,64,20
DEV_001_2024-09-03 08:00:00,2024-09-03 08:00:00,DEV_001,97,12,23,76
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,88,85,32,67
DEV_001_2024-09-03 16:00:00,2024-09-03 16:00:00,DEV_001,62,74,86,72
DEV_001_2024-09-03 20:00:00,2024-09-03 20:00:00,DEV_001,62,26,82,51
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,85,36,11,7
DEV_001_2024-09-04 04:00:00,2024-09-04 04:00:00,DEV_001,31,9,39,90
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,19,33,2,51
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,43,54,61,25
DEV_001_2024-09-04 16:00:00,2024-09-04 16:00:00,DEV_001,45,78,12,25
DEV_001_2024-09-04 20:00:00,2024-09-04 20:00:00,DEV_001,74,77,36,81
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,78,28,82,44
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,45,16,60,65
DEV_001_2024-09-05 08:00:00,2024-09-05 08:00:00,DEV_001,31,58,99,90
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,48,87,15,30
DEV_001_2024-09-05 16:00:00,2024-09-05 16:00:00,DEV_001,78,90,96,86
DEV_001_2024-09-05 20:00:00,2024-09-05 20:00:00,DEV_001,59,94,70,48
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,45,37,71,83
DEV_001_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_001,27,45,14,31
DEV_001_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_001,24,8,11,7
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,55,38,18,99
DEV_001_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_001,57,44,42,49
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,6,57,44,76
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,80,93,91,31
DEV_001_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_001,96,67,22,11
DEV_001_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_001,9,75,77,6
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,54,25,92,6
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,90,12,98,78
DEV_001_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_001,99,22,21,60
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,38,34,16,49
DEV_001_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_001,84,77,20,10
DEV_001_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_001,65,48,85,71
