distid,createdts,sn,wifi_ap_band_info_band_id,wifi_ap_band_info_channel,wifi_ap_band_info_wifi_name,wifi_ap_band_info_bssid
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,5G_guest,95,75,2b:f4:94:cc:dd:59
DEV_001_2024-09-01 04:00:00,2024-09-01 04:00:00,DEV_001,5G_iptv,55,99,f0:99:3d:6e:49:2a
DEV_001_2024-09-01 08:00:00,2024-09-01 08:00:00,DEV_001,2.4G,59,49,b2:8e:5e:e2:fa:fd
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,5G_guest,80,96,a3:a0:97:1d:49:c4
DEV_001_2024-09-01 16:00:00,2024-09-01 16:00:00,DEV_001,2.4G,58,75,b1:90:68:0e:9a:b7
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,5G_iptv,78,13,22:f7:57:e1:9b:11
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,2.4G,14,23,eb:19:97:c9:ac:23
DEV_001_2024-09-02 04:00:00,2024-09-02 04:00:00,DEV_001,6G,7,46,90:6c:df:d8:25:37
DEV_001_2024-09-02 08:00:00,2024-09-02 08:00:00,DEV_001,5G_guest,2,7,3b:9e:be:e6:bf:14
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,6G,34,24,0f:c4:a7:f3:c6:0e
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,5G_iptv,62,44,66:75:22:3d:9d:fb
DEV_001_2024-09-02 20:00:00,2024-09-02 20:00:00,DEV_001,5G_iptv,16,42,21:81:d7:7c:90:5b
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,5G_iptv,37,75,1a:b2:c0:77:7d:a0
DEV_001_2024-09-03 04:00:00,2024-09-03 04:00:00,DEV_001,5G_iptv,77,70,fa:0c:d5:89:fe:a8
DEV_001_2024-09-03 08:00:00,2024-09-03 08:00:00,DEV_001,6G_guest,54,1,76:a4:09:99:5e:63
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,5G_iptv,79,50,24:19:92:9c:b3:ae
DEV_001_2024-09-03 16:00:00,2024-09-03 16:00:00,DEV_001,6G_guest,64,1,9e:c5:4a:a3:f2:d6
DEV_001_2024-09-03 20:00:00,2024-09-03 20:00:00,DEV_001,6G_iptv,49,51,d8:2d:ce:fa:d1:77
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,6G_guest,68,74,1d:96:b1:29:91:93
DEV_001_2024-09-04 04:00:00,2024-09-04 04:00:00,DEV_001,5G_iptv,37,56,0e:3a:c9:0b:c3:d0
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,6G_guest,60,73,a3:2d:96:a7:28:2e
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,5G,75,33,c7:ab:85:1a:0a:a0
DEV_001_2024-09-04 16:00:00,2024-09-04 16:00:00,DEV_001,2.4G,48,31,32:0e:b7:b3:03:26
DEV_001_2024-09-04 20:00:00,2024-09-04 20:00:00,DEV_001,2.4G,62,66,6b:4d:b9:15:04:62
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,5G_guest,58,34,fd:4d:e3:97:35:93
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,6G_guest,19,18,9a:74:1f:a5:d7:a0
DEV_001_2024-09-05 08:00:00,2024-09-05 08:00:00,DEV_001,6G,58,69,b8:28:37:9e:fd:48
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,5G,60,27,e6:b2:6e:9f:ca:1a
DEV_001_2024-09-05 16:00:00,2024-09-05 16:00:00,DEV_001,6G_guest,68,96,8b:b8:47:09:5a:5b
DEV_001_2024-09-05 20:00:00,2024-09-05 20:00:00,DEV_001,6G_iptv,99,7,a7:39:11:7d:1f:0e
