distid,createdts,sn,ookla_result
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 32, 'UploadSpeed': 75, 'Latency': 73, 'PacketLossRate': 6, 'Jitter': 1, 'Download LatencyIQM': 83, 'Download LatencyLow': 24, 'Download LatencyHigh': 15, 'Download LatencyJitter': 28, 'UploadLatencyIQM': 18, 'UploadLatencyLow': 89, 'Upload LatencyHigh': 48, 'UploadLatencyJitter': 73}"
DEV_001_2024-09-01 05:00:00,2024-09-01 05:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 98, 'UploadSpeed': 96, 'Latency': 3, 'PacketLossRate': 89, 'Jitter': 8, 'Download LatencyIQM': 10, 'Download LatencyLow': 31, 'Download LatencyHigh': 1, 'Download LatencyJitter': 73, 'UploadLatencyIQM': 75, 'UploadLatencyLow': 21, 'Upload LatencyHigh': 7, 'UploadLatencyJitter': 4}"
DEV_001_2024-09-01 10:00:00,2024-09-01 10:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 30, 'UploadSpeed': 65, 'Latency': 47, 'PacketLossRate': 27, 'Jitter': 31, 'Download LatencyIQM': 74, 'Download LatencyLow': 91, 'Download LatencyHigh': 19, 'Download LatencyJitter': 62, 'UploadLatencyIQM': 68, 'UploadLatencyLow': 90, 'Upload LatencyHigh': 47, 'UploadLatencyJitter': 66}"
DEV_001_2024-09-01 15:00:00,2024-09-01 15:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 63, 'UploadSpeed': 57, 'Latency': 77, 'PacketLossRate': 68, 'Jitter': 44, 'Download LatencyIQM': 50, 'Download LatencyLow': 89, 'Download LatencyHigh': 53, 'Download LatencyJitter': 68, 'UploadLatencyIQM': 55, 'UploadLatencyLow': 63, 'Upload LatencyHigh': 81, 'UploadLatencyJitter': 25}"
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 48, 'UploadSpeed': 75, 'Latency': 84, 'PacketLossRate': 85, 'Jitter': 31, 'Download LatencyIQM': 53, 'Download LatencyLow': 81, 'Download LatencyHigh': 94, 'Download LatencyJitter': 59, 'UploadLatencyIQM': 80, 'UploadLatencyLow': 23, 'Upload LatencyHigh': 85, 'UploadLatencyJitter': 35}"
DEV_001_2024-09-02 01:00:00,2024-09-02 01:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 7, 'UploadSpeed': 46, 'Latency': 31, 'PacketLossRate': 46, 'Jitter': 75, 'Download LatencyIQM': 69, 'Download LatencyLow': 66, 'Download LatencyHigh': 66, 'Download LatencyJitter': 23, 'UploadLatencyIQM': 17, 'UploadLatencyLow': 20, 'Upload LatencyHigh': 67, 'UploadLatencyJitter': 94}"
DEV_001_2024-09-02 06:00:00,2024-09-02 06:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 97, 'UploadSpeed': 34, 'Latency': 64, 'PacketLossRate': 96, 'Jitter': 48, 'Download LatencyIQM': 83, 'Download LatencyLow': 38, 'Download LatencyHigh': 51, 'Download LatencyJitter': 20, 'UploadLatencyIQM': 53, 'UploadLatencyLow': 2, 'Upload LatencyHigh': 86, 'UploadLatencyJitter': 60}"
DEV_001_2024-09-02 11:00:00,2024-09-02 11:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 83, 'UploadSpeed': 69, 'Latency': 54, 'PacketLossRate': 96, 'Jitter': 75, 'Download LatencyIQM': 88, 'Download LatencyLow': 24, 'Download LatencyHigh': 38, 'Download LatencyJitter': 90, 'UploadLatencyIQM': 71, 'UploadLatencyLow': 24, 'Upload LatencyHigh': 57, 'UploadLatencyJitter': 85}"
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 77, 'UploadSpeed': 3, 'Latency': 23, 'PacketLossRate': 43, 'Jitter': 87, 'Download LatencyIQM': 30, 'Download LatencyLow': 88, 'Download LatencyHigh': 96, 'Download LatencyJitter': 98, 'UploadLatencyIQM': 74, 'UploadLatencyLow': 35, 'Upload LatencyHigh': 25, 'UploadLatencyJitter': 11}"
DEV_001_2024-09-02 21:00:00,2024-09-02 21:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 6, 'UploadSpeed': 4, 'Latency': 65, 'PacketLossRate': 51, 'Jitter': 23, 'Download LatencyIQM': 46, 'Download LatencyLow': 52, 'Download LatencyHigh': 35, 'Download LatencyJitter': 59, 'UploadLatencyIQM': 73, 'UploadLatencyLow': 63, 'Upload LatencyHigh': 82, 'UploadLatencyJitter': 34}"
DEV_001_2024-09-03 02:00:00,2024-09-03 02:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 14, 'UploadSpeed': 37, 'Latency': 39, 'PacketLossRate': 20, 'Jitter': 22, 'Download LatencyIQM': 48, 'Download LatencyLow': 73, 'Download LatencyHigh': 26, 'Download LatencyJitter': 60, 'UploadLatencyIQM': 4, 'UploadLatencyLow': 50, 'Upload LatencyHigh': 47, 'UploadLatencyJitter': 37}"
DEV_001_2024-09-03 07:00:00,2024-09-03 07:00:00,DEV_001,"{'SpeedTestType': 'OoklaTCP', 'TransactionID': '', 'OoklaServerID': '37686', 'TestResponse': 'Completed', 'TestProgress': 100, 'DownloadSpeed': 24, 'UploadSpeed': 37, 'Latency': 63, 'PacketLossRate': 32, 'Jitter': 66, 'Download LatencyIQM': 78, 'Download LatencyLow': 3, 'Download LatencyHigh': 69, 'Download LatencyJitter': 21, 'UploadLatencyIQM': 54, 'UploadLatencyLow': 39, 'Upload LatencyHigh': 97, 'UploadLatencyJitter': 42}"
