distid,createdts,sn,event_reason
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,25
DEV_001_2024-09-01 03:00:00,2024-09-01 03:00:00,DEV_001,54
DEV_001_2024-09-01 06:00:00,2024-09-01 06:00:00,DEV_001,54
DEV_001_2024-09-01 09:00:00,2024-09-01 09:00:00,DEV_001,46
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,32
DEV_001_2024-09-01 15:00:00,2024-09-01 15:00:00,DEV_001,86
DEV_001_2024-09-01 18:00:00,2024-09-01 18:00:00,DEV_001,40
DEV_001_2024-09-01 21:00:00,2024-09-01 21:00:00,DEV_001,37
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,91
DEV_001_2024-09-02 03:00:00,2024-09-02 03:00:00,DEV_001,26
DEV_001_2024-09-02 06:00:00,2024-09-02 06:00:00,DEV_001,60
DEV_001_2024-09-02 09:00:00,2024-09-02 09:00:00,DEV_001,27
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,71
DEV_001_2024-09-02 15:00:00,2024-09-02 15:00:00,DEV_001,8
DEV_001_2024-09-02 18:00:00,2024-09-02 18:00:00,DEV_001,24
DEV_001_2024-09-02 21:00:00,2024-09-02 21:00:00,DEV_001,14
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,93
DEV_001_2024-09-03 03:00:00,2024-09-03 03:00:00,DEV_001,49
DEV_001_2024-09-03 06:00:00,2024-09-03 06:00:00,DEV_001,56
DEV_001_2024-09-03 09:00:00,2024-09-03 09:00:00,DEV_001,58
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,77
DEV_001_2024-09-03 15:00:00,2024-09-03 15:00:00,DEV_001,75
DEV_001_2024-09-03 18:00:00,2024-09-03 18:00:00,DEV_001,65
DEV_001_2024-09-03 21:00:00,2024-09-03 21:00:00,DEV_001,12
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,49
DEV_001_2024-09-04 03:00:00,2024-09-04 03:00:00,DEV_001,8
DEV_001_2024-09-04 06:00:00,2024-09-04 06:00:00,DEV_001,52
DEV_001_2024-09-04 09:00:00,2024-09-04 09:00:00,DEV_001,54
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,88
DEV_001_2024-09-04 15:00:00,2024-09-04 15:00:00,DEV_001,83
DEV_001_2024-09-04 18:00:00,2024-09-04 18:00:00,DEV_001,49
DEV_001_2024-09-04 21:00:00,2024-09-04 21:00:00,DEV_001,51
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,53
DEV_001_2024-09-05 03:00:00,2024-09-05 03:00:00,DEV_001,66
DEV_001_2024-09-05 06:00:00,2024-09-05 06:00:00,DEV_001,66
DEV_001_2024-09-05 09:00:00,2024-09-05 09:00:00,DEV_001,47
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,30
DEV_001_2024-09-05 15:00:00,2024-09-05 15:00:00,DEV_001,77
DEV_001_2024-09-05 18:00:00,2024-09-05 18:00:00,DEV_001,47
DEV_001_2024-09-05 21:00:00,2024-09-05 21:00:00,DEV_001,42
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,47
DEV_001_2024-09-06 03:00:00,2024-09-06 03:00:00,DEV_001,7
DEV_001_2024-09-06 06:00:00,2024-09-06 06:00:00,DEV_001,39
DEV_001_2024-09-06 09:00:00,2024-09-06 09:00:00,DEV_001,43
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,59
DEV_001_2024-09-06 15:00:00,2024-09-06 15:00:00,DEV_001,75
DEV_001_2024-09-06 18:00:00,2024-09-06 18:00:00,DEV_001,99
DEV_001_2024-09-06 21:00:00,2024-09-06 21:00:00,DEV_001,99
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,96
DEV_001_2024-09-07 03:00:00,2024-09-07 03:00:00,DEV_001,25
DEV_001_2024-09-07 06:00:00,2024-09-07 06:00:00,DEV_001,73
DEV_001_2024-09-07 09:00:00,2024-09-07 09:00:00,DEV_001,44
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,66
DEV_001_2024-09-07 15:00:00,2024-09-07 15:00:00,DEV_001,14
DEV_001_2024-09-07 18:00:00,2024-09-07 18:00:00,DEV_001,1
DEV_001_2024-09-07 21:00:00,2024-09-07 21:00:00,DEV_001,25
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,76
DEV_001_2024-09-08 03:00:00,2024-09-08 03:00:00,DEV_001,72
DEV_001_2024-09-08 06:00:00,2024-09-08 06:00:00,DEV_001,85
DEV_001_2024-09-08 09:00:00,2024-09-08 09:00:00,DEV_001,51
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,94
DEV_001_2024-09-08 15:00:00,2024-09-08 15:00:00,DEV_001,52
DEV_001_2024-09-08 18:00:00,2024-09-08 18:00:00,DEV_001,84
DEV_001_2024-09-08 21:00:00,2024-09-08 21:00:00,DEV_001,2
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,84
DEV_001_2024-09-09 03:00:00,2024-09-09 03:00:00,DEV_001,65
DEV_001_2024-09-09 06:00:00,2024-09-09 06:00:00,DEV_001,8
DEV_001_2024-09-09 09:00:00,2024-09-09 09:00:00,DEV_001,15
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,66
DEV_001_2024-09-09 15:00:00,2024-09-09 15:00:00,DEV_001,9
DEV_001_2024-09-09 18:00:00,2024-09-09 18:00:00,DEV_001,60
DEV_001_2024-09-09 21:00:00,2024-09-09 21:00:00,DEV_001,42
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,95
DEV_001_2024-09-10 03:00:00,2024-09-10 03:00:00,DEV_001,31
DEV_001_2024-09-10 06:00:00,2024-09-10 06:00:00,DEV_001,60
DEV_001_2024-09-10 09:00:00,2024-09-10 09:00:00,DEV_001,80
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,24
