distid,createdts,sn,event_type,event_action
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,61,36
DEV_001_2024-09-01 05:00:00,2024-09-01 05:00:00,DEV_001,41,71
DEV_001_2024-09-01 10:00:00,2024-09-01 10:00:00,DEV_001,90,32
DEV_001_2024-09-01 15:00:00,2024-09-01 15:00:00,DEV_001,16,92
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,26,75
DEV_001_2024-09-02 01:00:00,2024-09-02 01:00:00,DEV_001,7,95
DEV_001_2024-09-02 06:00:00,2024-09-02 06:00:00,DEV_001,44,47
DEV_001_2024-09-02 11:00:00,2024-09-02 11:00:00,DEV_001,47,42
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,36,16
DEV_001_2024-09-02 21:00:00,2024-09-02 21:00:00,DEV_001,46,61
DEV_001_2024-09-03 02:00:00,2024-09-03 02:00:00,DEV_001,25,65
DEV_001_2024-09-03 07:00:00,2024-09-03 07:00:00,DEV_001,11,92
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,20,25
DEV_001_2024-09-03 17:00:00,2024-09-03 17:00:00,DEV_001,56,60
DEV_001_2024-09-03 22:00:00,2024-09-03 22:00:00,DEV_001,8,70
DEV_001_2024-09-04 03:00:00,2024-09-04 03:00:00,DEV_001,18,93
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,85,92
DEV_001_2024-09-04 13:00:00,2024-09-04 13:00:00,DEV_001,22,65
DEV_001_2024-09-04 18:00:00,2024-09-04 18:00:00,DEV_001,83,96
DEV_001_2024-09-04 23:00:00,2024-09-04 23:00:00,DEV_001,20,10
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,28,5
DEV_001_2024-09-05 09:00:00,2024-09-05 09:00:00,DEV_001,82,33
DEV_001_2024-09-05 14:00:00,2024-09-05 14:00:00,DEV_001,80,9
DEV_001_2024-09-05 19:00:00,2024-09-05 19:00:00,DEV_001,95,73
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,92,28
DEV_001_2024-09-06 05:00:00,2024-09-06 05:00:00,DEV_001,13,67
DEV_001_2024-09-06 10:00:00,2024-09-06 10:00:00,DEV_001,37,97
DEV_001_2024-09-06 15:00:00,2024-09-06 15:00:00,DEV_001,38,6
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,64,33
DEV_001_2024-09-07 01:00:00,2024-09-07 01:00:00,DEV_001,78,22
DEV_001_2024-09-07 06:00:00,2024-09-07 06:00:00,DEV_001,32,35
DEV_001_2024-09-07 11:00:00,2024-09-07 11:00:00,DEV_001,49,52
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,49,3
DEV_001_2024-09-07 21:00:00,2024-09-07 21:00:00,DEV_001,77,78
DEV_001_2024-09-08 02:00:00,2024-09-08 02:00:00,DEV_001,44,1
DEV_001_2024-09-08 07:00:00,2024-09-08 07:00:00,DEV_001,67,64
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,20,35
DEV_001_2024-09-08 17:00:00,2024-09-08 17:00:00,DEV_001,21,99
DEV_001_2024-09-08 22:00:00,2024-09-08 22:00:00,DEV_001,76,44
DEV_001_2024-09-09 03:00:00,2024-09-09 03:00:00,DEV_001,64,75
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,74,14
DEV_001_2024-09-09 13:00:00,2024-09-09 13:00:00,DEV_001,74,73
DEV_001_2024-09-09 18:00:00,2024-09-09 18:00:00,DEV_001,91,36
DEV_001_2024-09-09 23:00:00,2024-09-09 23:00:00,DEV_001,51,25
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,72,90
DEV_001_2024-09-10 09:00:00,2024-09-10 09:00:00,DEV_001,8,66
DEV_001_2024-09-10 14:00:00,2024-09-10 14:00:00,DEV_001,26,19
DEV_001_2024-09-10 19:00:00,2024-09-10 19:00:00,DEV_001,49,23
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,55,47
DEV_001_2024-09-11 05:00:00,2024-09-11 05:00:00,DEV_001,28,18
DEV_001_2024-09-11 10:00:00,2024-09-11 10:00:00,DEV_001,70,7
DEV_001_2024-09-11 15:00:00,2024-09-11 15:00:00,DEV_001,52,1
DEV_001_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_001,67,27
DEV_001_2024-09-12 01:00:00,2024-09-12 01:00:00,DEV_001,63,64
DEV_001_2024-09-12 06:00:00,2024-09-12 06:00:00,DEV_001,25,97
DEV_001_2024-09-12 11:00:00,2024-09-12 11:00:00,DEV_001,41,76
DEV_001_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_001,27,53
DEV_001_2024-09-12 21:00:00,2024-09-12 21:00:00,DEV_001,75,32
DEV_001_2024-09-13 02:00:00,2024-09-13 02:00:00,DEV_001,1,88
DEV_001_2024-09-13 07:00:00,2024-09-13 07:00:00,DEV_001,48,15
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,18,87
DEV_001_2024-09-13 17:00:00,2024-09-13 17:00:00,DEV_001,42,28
DEV_001_2024-09-13 22:00:00,2024-09-13 22:00:00,DEV_001,64,33
DEV_001_2024-09-14 03:00:00,2024-09-14 03:00:00,DEV_001,18,49
DEV_001_2024-09-14 08:00:00,2024-09-14 08:00:00,DEV_001,44,1
DEV_001_2024-09-14 13:00:00,2024-09-14 13:00:00,DEV_001,39,97
DEV_001_2024-09-14 18:00:00,2024-09-14 18:00:00,DEV_001,64,84
DEV_001_2024-09-14 23:00:00,2024-09-14 23:00:00,DEV_001,9,99
DEV_001_2024-09-15 04:00:00,2024-09-15 04:00:00,DEV_001,28,79
DEV_001_2024-09-15 09:00:00,2024-09-15 09:00:00,DEV_001,19,20
DEV_001_2024-09-15 14:00:00,2024-09-15 14:00:00,DEV_001,72,70
DEV_001_2024-09-15 19:00:00,2024-09-15 19:00:00,DEV_001,60,58
