distid,createdts,sn,tplg_node_sta_num,tplg_node_type,tplg_node_son
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,28,30,52
DEV_001_2024-09-01 04:00:00,2024-09-01 04:00:00,DEV_001,41,81,97
DEV_001_2024-09-01 08:00:00,2024-09-01 08:00:00,DEV_001,23,51,93
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,85,58,78
DEV_001_2024-09-01 16:00:00,2024-09-01 16:00:00,DEV_001,54,42,3
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,14,97,34
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,67,16,68
DEV_001_2024-09-02 04:00:00,2024-09-02 04:00:00,DEV_001,50,73,51
DEV_001_2024-09-02 08:00:00,2024-09-02 08:00:00,DEV_001,8,3,97
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,68,24,54
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,66,54,39
DEV_001_2024-09-02 20:00:00,2024-09-02 20:00:00,DEV_001,1,84,25
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,94,37,56
DEV_001_2024-09-03 04:00:00,2024-09-03 04:00:00,DEV_001,59,10,11
DEV_001_2024-09-03 08:00:00,2024-09-03 08:00:00,DEV_001,13,77,99
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,80,35,49
DEV_001_2024-09-03 16:00:00,2024-09-03 16:00:00,DEV_001,54,51,14
DEV_001_2024-09-03 20:00:00,2024-09-03 20:00:00,DEV_001,65,4,65
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,31,65,94
DEV_001_2024-09-04 04:00:00,2024-09-04 04:00:00,DEV_001,34,57,9
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,13,12,73
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,30,51,88
DEV_001_2024-09-04 16:00:00,2024-09-04 16:00:00,DEV_001,57,63,16
DEV_001_2024-09-04 20:00:00,2024-09-04 20:00:00,DEV_001,4,94,20
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,90,97,15
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,15,38,36
DEV_001_2024-09-05 08:00:00,2024-09-05 08:00:00,DEV_001,81,51,87
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,98,25,99
DEV_001_2024-09-05 16:00:00,2024-09-05 16:00:00,DEV_001,5,75,78
DEV_001_2024-09-05 20:00:00,2024-09-05 20:00:00,DEV_001,3,52,88
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,33,91,25
DEV_001_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_001,20,36,11
DEV_001_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_001,50,40,77
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,17,62,39
DEV_001_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_001,6,57,10
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,89,5,60
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,7,47,19
DEV_001_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_001,4,74,44
DEV_001_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_001,18,47,89
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,94,28,54
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,25,94,3
DEV_001_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_001,73,76,8
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,6,71,71
DEV_001_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_001,38,58,73
DEV_001_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_001,1,84,80
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,50,90,45
DEV_001_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_001,76,20,48
DEV_001_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_001,63,54,94
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,23,30,79
DEV_001_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_001,89,64,57
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,28,17,78
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,99,59,18
DEV_001_2024-09-09 16:00:00,2024-09-09 16:00:00,DEV_001,9,53,26
DEV_001_2024-09-09 20:00:00,2024-09-09 20:00:00,DEV_001,95,92,16
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,48,87,3
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,57,24,5
DEV_001_2024-09-10 08:00:00,2024-09-10 08:00:00,DEV_001,66,63,95
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,40,30,27
DEV_001_2024-09-10 16:00:00,2024-09-10 16:00:00,DEV_001,9,41,29
DEV_001_2024-09-10 20:00:00,2024-09-10 20:00:00,DEV_001,57,79,63
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,30,23,50
DEV_001_2024-09-11 04:00:00,2024-09-11 04:00:00,DEV_001,21,54,47
DEV_001_2024-09-11 08:00:00,2024-09-11 08:00:00,DEV_001,83,78,2
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,62,75,96
DEV_001_2024-09-11 16:00:00,2024-09-11 16:00:00,DEV_001,57,48,9
DEV_001_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_001,30,98,34
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,34,66,75
DEV_001_2024-09-12 04:00:00,2024-09-12 04:00:00,DEV_001,79,38,53
DEV_001_2024-09-12 08:00:00,2024-09-12 08:00:00,DEV_001,57,89,24
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,15,64,79
DEV_001_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_001,94,94,49
DEV_001_2024-09-12 20:00:00,2024-09-12 20:00:00,DEV_001,67,2,89
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,7,36,91
DEV_001_2024-09-13 04:00:00,2024-09-13 04:00:00,DEV_001,7,73,69
DEV_001_2024-09-13 08:00:00,2024-09-13 08:00:00,DEV_001,94,81,92
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,74,3,55
DEV_001_2024-09-13 16:00:00,2024-09-13 16:00:00,DEV_001,54,75,89
DEV_001_2024-09-13 20:00:00,2024-09-13 20:00:00,DEV_001,72,28,56
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,13,86,5
DEV_001_2024-09-14 04:00:00,2024-09-14 04:00:00,DEV_001,97,34,69
DEV_001_2024-09-14 08:00:00,2024-09-14 08:00:00,DEV_001,96,77,97
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,6,2,52
DEV_001_2024-09-14 16:00:00,2024-09-14 16:00:00,DEV_001,15,38,99
DEV_001_2024-09-14 20:00:00,2024-09-14 20:00:00,DEV_001,41,65,37
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,67,38,10
DEV_001_2024-09-15 04:00:00,2024-09-15 04:00:00,DEV_001,98,56,98
DEV_001_2024-09-15 08:00:00,2024-09-15 08:00:00,DEV_001,58,10,50
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,86,98,98
DEV_001_2024-09-15 16:00:00,2024-09-15 16:00:00,DEV_001,41,14,89
DEV_001_2024-09-15 20:00:00,2024-09-15 20:00:00,DEV_001,87,66,34
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,99,58,24
DEV_001_2024-09-16 04:00:00,2024-09-16 04:00:00,DEV_001,80,85,81
DEV_001_2024-09-16 08:00:00,2024-09-16 08:00:00,DEV_001,96,14,92
DEV_001_2024-09-16 12:00:00,2024-09-16 12:00:00,DEV_001,97,71,63
DEV_001_2024-09-16 16:00:00,2024-09-16 16:00:00,DEV_001,14,6,11
DEV_001_2024-09-16 20:00:00,2024-09-16 20:00:00,DEV_001,27,54,90
DEV_001_2024-09-17 00:00:00,2024-09-17 00:00:00,DEV_001,53,98,25
DEV_001_2024-09-17 04:00:00,2024-09-17 04:00:00,DEV_001,36,18,92
DEV_001_2024-09-17 08:00:00,2024-09-17 08:00:00,DEV_001,56,10,51
DEV_001_2024-09-17 12:00:00,2024-09-17 12:00:00,DEV_001,38,73,21
DEV_001_2024-09-17 16:00:00,2024-09-17 16:00:00,DEV_001,90,99,33
DEV_001_2024-09-17 20:00:00,2024-09-17 20:00:00,DEV_001,25,67,19
DEV_001_2024-09-18 00:00:00,2024-09-18 00:00:00,DEV_001,76,56,94
DEV_001_2024-09-18 04:00:00,2024-09-18 04:00:00,DEV_001,98,48,41
DEV_001_2024-09-18 08:00:00,2024-09-18 08:00:00,DEV_001,52,8,47
DEV_001_2024-09-18 12:00:00,2024-09-18 12:00:00,DEV_001,78,75,40
DEV_001_2024-09-18 16:00:00,2024-09-18 16:00:00,DEV_001,45,61,55
DEV_001_2024-09-18 20:00:00,2024-09-18 20:00:00,DEV_001,72,44,19
DEV_001_2024-09-19 00:00:00,2024-09-19 00:00:00,DEV_001,85,83,97
DEV_001_2024-09-19 04:00:00,2024-09-19 04:00:00,DEV_001,22,63,3
