distid,createdts,sn,stations_bs,stations_br,stations_mode,stations_signal_strength,stations_tx_link_rate,stations_max_tx_phy_rate,stations_link_rate,stations_max_rx_phy_rate,stations_airtime_utilization,stations_station_name,connect_type,stations_parent_id
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,96,59,11,99,2,46,1,70,71,Station_2,Ether,PARENT_5
DEV_001_2024-09-01 03:00:00,2024-09-01 03:00:00,DEV_001,69,13,19,83,47,1,99,18,32,Station_5,5G_H,PARENT_4
DEV_001_2024-09-01 06:00:00,2024-09-01 06:00:00,DEV_001,8,92,85,38,6,2,74,73,55,Station_3,Ether,PARENT_4
DEV_001_2024-09-01 09:00:00,2024-09-01 09:00:00,DEV_001,72,73,26,98,48,94,8,67,75,Station_9,2.4G_guest,PARENT_5
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,76,30,27,43,5,20,52,21,3,Station_9,6G_guest,PARENT_2
DEV_001_2024-09-01 15:00:00,2024-09-01 15:00:00,DEV_001,64,68,88,71,24,52,75,2,44,Station_9,5G_guest,PARENT_7
DEV_001_2024-09-01 18:00:00,2024-09-01 18:00:00,DEV_001,38,82,45,9,53,28,19,68,4,Station_9,6G,PARENT_5
DEV_001_2024-09-01 21:00:00,2024-09-01 21:00:00,DEV_001,2,70,12,37,56,88,52,73,90,Station_4,5G_H_guest,PARENT_4
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,49,52,34,22,13,63,15,40,38,Station_9,5G_guest,PARENT_7
DEV_001_2024-09-02 03:00:00,2024-09-02 03:00:00,DEV_001,44,66,66,43,72,38,82,29,75,Station_8,5G_guest,PARENT_9
DEV_001_2024-09-02 06:00:00,2024-09-02 06:00:00,DEV_001,22,46,89,31,21,38,52,19,10,Station_5,6G_guest,PARENT_3
DEV_001_2024-09-02 09:00:00,2024-09-02 09:00:00,DEV_001,66,79,38,62,72,46,35,43,30,Station_9,MoCA,PARENT_3
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,29,66,92,72,89,74,22,35,42,Station_8,5G_H_iptv,PARENT_7
DEV_001_2024-09-02 15:00:00,2024-09-02 15:00:00,DEV_001,2,39,97,88,12,73,44,43,67,Station_7,5G_H,PARENT_1
DEV_001_2024-09-02 18:00:00,2024-09-02 18:00:00,DEV_001,94,38,66,40,22,75,63,59,76,Station_3,2.4G_guest,PARENT_7
DEV_001_2024-09-02 21:00:00,2024-09-02 21:00:00,DEV_001,73,43,58,82,54,82,40,27,13,Station_8,6G,PARENT_7
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,59,77,7,50,66,3,39,87,7,Station_4,5G,PARENT_7
DEV_001_2024-09-03 03:00:00,2024-09-03 03:00:00,DEV_001,8,32,19,12,57,10,78,91,21,Station_4,5G_H_guest,PARENT_4
DEV_001_2024-09-03 06:00:00,2024-09-03 06:00:00,DEV_001,19,29,71,64,97,72,11,33,25,Station_1,2.4G_guest,PARENT_4
DEV_001_2024-09-03 09:00:00,2024-09-03 09:00:00,DEV_001,11,30,57,97,10,93,25,96,68,Station_7,5G_H_guest,PARENT_7
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,34,86,77,54,51,6,59,54,17,Station_8,5G_H_guest,PARENT_2
DEV_001_2024-09-03 15:00:00,2024-09-03 15:00:00,DEV_001,20,91,6,91,88,79,55,48,58,Station_1,5G_H_iptv,PARENT_5
DEV_001_2024-09-03 18:00:00,2024-09-03 18:00:00,DEV_001,6,30,23,36,3,90,34,30,82,Station_1,6G_iptv,PARENT_3
DEV_001_2024-09-03 21:00:00,2024-09-03 21:00:00,DEV_001,42,21,88,4,49,48,89,51,24,Station_4,6G,PARENT_3
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,99,20,80,95,71,18,8,27,14,Station_2,MoCA,PARENT_8
DEV_001_2024-09-04 03:00:00,2024-09-04 03:00:00,DEV_001,31,20,70,45,1,19,39,27,56,Station_2,5G_iptv,PARENT_4
DEV_001_2024-09-04 06:00:00,2024-09-04 06:00:00,DEV_001,31,86,84,79,25,1,17,80,85,Station_8,5G_iptv,PARENT_3
DEV_001_2024-09-04 09:00:00,2024-09-04 09:00:00,DEV_001,24,62,52,51,66,57,55,53,89,Station_3,6G_iptv,PARENT_6
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,73,1,24,74,99,6,48,20,76,Station_3,5G_iptv,PARENT_2
DEV_001_2024-09-04 15:00:00,2024-09-04 15:00:00,DEV_001,21,99,64,37,19,89,56,62,18,Station_8,5G_H,PARENT_3
DEV_001_2024-09-04 18:00:00,2024-09-04 18:00:00,DEV_001,42,53,98,74,86,50,4,63,67,Station_1,5G_H,PARENT_8
DEV_001_2024-09-04 21:00:00,2024-09-04 21:00:00,DEV_001,49,92,22,12,49,13,33,47,64,Station_3,5G_H_guest,PARENT_1
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,34,68,39,72,97,1,5,96,40,Station_1,2.4G,PARENT_6
DEV_001_2024-09-05 03:00:00,2024-09-05 03:00:00,DEV_001,93,17,94,99,60,1,4,9,45,Station_5,2.4G,PARENT_7
DEV_001_2024-09-05 06:00:00,2024-09-05 06:00:00,DEV_001,46,86,27,89,36,68,32,73,66,Station_2,5G_H_guest,PARENT_7
DEV_001_2024-09-05 09:00:00,2024-09-05 09:00:00,DEV_001,64,46,89,74,89,54,53,29,37,Station_5,MoCA,PARENT_5
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,44,15,67,1,24,76,62,78,57,Station_4,5G_H_iptv,PARENT_5
DEV_001_2024-09-05 15:00:00,2024-09-05 15:00:00,DEV_001,35,62,61,19,84,42,44,87,98,Station_1,2.4G_guest,PARENT_8
DEV_001_2024-09-05 18:00:00,2024-09-05 18:00:00,DEV_001,81,90,78,46,51,32,84,80,19,Station_7,5G_H,PARENT_4
DEV_001_2024-09-05 21:00:00,2024-09-05 21:00:00,DEV_001,11,75,47,24,22,49,55,55,85,Station_6,5G_H_guest,PARENT_3
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,44,36,89,15,45,62,92,50,78,Station_9,5G,PARENT_3
DEV_001_2024-09-06 03:00:00,2024-09-06 03:00:00,DEV_001,8,13,41,17,32,5,9,34,1,Station_8,5G_guest,PARENT_2
DEV_001_2024-09-06 06:00:00,2024-09-06 06:00:00,DEV_001,99,50,59,92,81,62,11,23,26,Station_5,5G_H_iptv,PARENT_6
DEV_001_2024-09-06 09:00:00,2024-09-06 09:00:00,DEV_001,51,43,98,42,13,25,2,14,17,Station_9,5G_H,PARENT_8
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,39,25,91,48,88,49,33,27,45,Station_6,6G_guest,PARENT_8
DEV_001_2024-09-06 15:00:00,2024-09-06 15:00:00,DEV_001,40,58,65,11,15,97,57,96,25,Station_7,MoCA,PARENT_2
