distid,createdts,sn,wan_data_ipv4_ip
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,192.168.68.150
DEV_001_2024-09-01 04:00:00,2024-09-01 04:00:00,DEV_001,192.168.12.178
DEV_001_2024-09-01 08:00:00,2024-09-01 08:00:00,DEV_001,192.168.115.241
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,192.168.174.110
DEV_001_2024-09-01 16:00:00,2024-09-01 16:00:00,DEV_001,192.168.156.80
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,192.168.99.17
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,192.168.147.206
DEV_001_2024-09-02 04:00:00,2024-09-02 04:00:00,DEV_001,192.168.113.6
DEV_001_2024-09-02 08:00:00,2024-09-02 08:00:00,DEV_001,192.168.21.232
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,192.168.136.160
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,192.168.87.33
DEV_001_2024-09-02 20:00:00,2024-09-02 20:00:00,DEV_001,192.168.204.227
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,192.168.69.49
DEV_001_2024-09-03 04:00:00,2024-09-03 04:00:00,DEV_001,192.168.103.158
DEV_001_2024-09-03 08:00:00,2024-09-03 08:00:00,DEV_001,192.168.101.144
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,192.168.192.106
DEV_001_2024-09-03 16:00:00,2024-09-03 16:00:00,DEV_001,192.168.81.86
DEV_001_2024-09-03 20:00:00,2024-09-03 20:00:00,DEV_001,192.168.217.14
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,192.168.183.165
DEV_001_2024-09-04 04:00:00,2024-09-04 04:00:00,DEV_001,192.168.48.206
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,192.168.217.50
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,192.168.163.180
DEV_001_2024-09-04 16:00:00,2024-09-04 16:00:00,DEV_001,192.168.22.66
DEV_001_2024-09-04 20:00:00,2024-09-04 20:00:00,DEV_001,192.168.230.199
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,192.168.230.173
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,192.168.114.214
DEV_001_2024-09-05 08:00:00,2024-09-05 08:00:00,DEV_001,192.168.27.230
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,192.168.19.177
DEV_001_2024-09-05 16:00:00,2024-09-05 16:00:00,DEV_001,192.168.184.210
DEV_001_2024-09-05 20:00:00,2024-09-05 20:00:00,DEV_001,192.168.120.216
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,192.168.96.187
DEV_001_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_001,192.168.118.109
DEV_001_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_001,192.168.25.147
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,192.168.239.106
DEV_001_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_001,192.168.140.202
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,192.168.61.126
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,192.168.141.201
DEV_001_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_001,192.168.244.139
DEV_001_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_001,192.168.66.232
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,192.168.11.35
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,192.168.230.110
DEV_001_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_001,192.168.166.160
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,192.168.230.14
DEV_001_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_001,192.168.235.193
