distid,createdts,sn,wc_interface,wc_current_ch,wc_enable
DEV_001_2024-09-01 00:00:00,2024-09-01 00:00:00,DEV_001,93,15,72
DEV_001_2024-09-01 04:00:00,2024-09-01 04:00:00,DEV_001,61,21,83
DEV_001_2024-09-01 08:00:00,2024-09-01 08:00:00,DEV_001,87,75,75
DEV_001_2024-09-01 12:00:00,2024-09-01 12:00:00,DEV_001,88,24,3
DEV_001_2024-09-01 16:00:00,2024-09-01 16:00:00,DEV_001,22,53,2
DEV_001_2024-09-01 20:00:00,2024-09-01 20:00:00,DEV_001,88,30,38
DEV_001_2024-09-02 00:00:00,2024-09-02 00:00:00,DEV_001,2,64,60
DEV_001_2024-09-02 04:00:00,2024-09-02 04:00:00,DEV_001,21,33,76
DEV_001_2024-09-02 08:00:00,2024-09-02 08:00:00,DEV_001,58,22,89
DEV_001_2024-09-02 12:00:00,2024-09-02 12:00:00,DEV_001,49,91,59
DEV_001_2024-09-02 16:00:00,2024-09-02 16:00:00,DEV_001,42,92,60
DEV_001_2024-09-02 20:00:00,2024-09-02 20:00:00,DEV_001,80,15,62
DEV_001_2024-09-03 00:00:00,2024-09-03 00:00:00,DEV_001,62,47,62
DEV_001_2024-09-03 04:00:00,2024-09-03 04:00:00,DEV_001,51,55,64
DEV_001_2024-09-03 08:00:00,2024-09-03 08:00:00,DEV_001,3,51,7
DEV_001_2024-09-03 12:00:00,2024-09-03 12:00:00,DEV_001,21,73,39
DEV_001_2024-09-03 16:00:00,2024-09-03 16:00:00,DEV_001,18,4,89
DEV_001_2024-09-03 20:00:00,2024-09-03 20:00:00,DEV_001,60,14,9
DEV_001_2024-09-04 00:00:00,2024-09-04 00:00:00,DEV_001,90,53,2
DEV_001_2024-09-04 04:00:00,2024-09-04 04:00:00,DEV_001,84,92,60
DEV_001_2024-09-04 08:00:00,2024-09-04 08:00:00,DEV_001,71,44,8
DEV_001_2024-09-04 12:00:00,2024-09-04 12:00:00,DEV_001,47,35,78
DEV_001_2024-09-04 16:00:00,2024-09-04 16:00:00,DEV_001,81,36,50
DEV_001_2024-09-04 20:00:00,2024-09-04 20:00:00,DEV_001,4,2,6
DEV_001_2024-09-05 00:00:00,2024-09-05 00:00:00,DEV_001,54,4,54
DEV_001_2024-09-05 04:00:00,2024-09-05 04:00:00,DEV_001,93,63,18
DEV_001_2024-09-05 08:00:00,2024-09-05 08:00:00,DEV_001,90,44,34
DEV_001_2024-09-05 12:00:00,2024-09-05 12:00:00,DEV_001,74,62,14
DEV_001_2024-09-05 16:00:00,2024-09-05 16:00:00,DEV_001,95,48,15
DEV_001_2024-09-05 20:00:00,2024-09-05 20:00:00,DEV_001,72,78,87
DEV_001_2024-09-06 00:00:00,2024-09-06 00:00:00,DEV_001,62,40,85
DEV_001_2024-09-06 04:00:00,2024-09-06 04:00:00,DEV_001,80,82,53
DEV_001_2024-09-06 08:00:00,2024-09-06 08:00:00,DEV_001,24,26,89
DEV_001_2024-09-06 12:00:00,2024-09-06 12:00:00,DEV_001,60,41,29
DEV_001_2024-09-06 16:00:00,2024-09-06 16:00:00,DEV_001,15,45,65
DEV_001_2024-09-06 20:00:00,2024-09-06 20:00:00,DEV_001,89,71,9
DEV_001_2024-09-07 00:00:00,2024-09-07 00:00:00,DEV_001,88,1,8
DEV_001_2024-09-07 04:00:00,2024-09-07 04:00:00,DEV_001,88,63,11
DEV_001_2024-09-07 08:00:00,2024-09-07 08:00:00,DEV_001,81,8,35
DEV_001_2024-09-07 12:00:00,2024-09-07 12:00:00,DEV_001,35,33,5
DEV_001_2024-09-07 16:00:00,2024-09-07 16:00:00,DEV_001,41,28,7
DEV_001_2024-09-07 20:00:00,2024-09-07 20:00:00,DEV_001,73,72,12
DEV_001_2024-09-08 00:00:00,2024-09-08 00:00:00,DEV_001,34,33,48
DEV_001_2024-09-08 04:00:00,2024-09-08 04:00:00,DEV_001,23,62,88
DEV_001_2024-09-08 08:00:00,2024-09-08 08:00:00,DEV_001,37,99,44
DEV_001_2024-09-08 12:00:00,2024-09-08 12:00:00,DEV_001,86,91,35
DEV_001_2024-09-08 16:00:00,2024-09-08 16:00:00,DEV_001,65,99,47
DEV_001_2024-09-08 20:00:00,2024-09-08 20:00:00,DEV_001,78,3,1
DEV_001_2024-09-09 00:00:00,2024-09-09 00:00:00,DEV_001,5,90,14
DEV_001_2024-09-09 04:00:00,2024-09-09 04:00:00,DEV_001,27,9,79
DEV_001_2024-09-09 08:00:00,2024-09-09 08:00:00,DEV_001,15,90,42
DEV_001_2024-09-09 12:00:00,2024-09-09 12:00:00,DEV_001,77,51,63
DEV_001_2024-09-09 16:00:00,2024-09-09 16:00:00,DEV_001,96,52,96
DEV_001_2024-09-09 20:00:00,2024-09-09 20:00:00,DEV_001,4,94,23
DEV_001_2024-09-10 00:00:00,2024-09-10 00:00:00,DEV_001,15,43,29
DEV_001_2024-09-10 04:00:00,2024-09-10 04:00:00,DEV_001,36,13,32
DEV_001_2024-09-10 08:00:00,2024-09-10 08:00:00,DEV_001,71,59,86
DEV_001_2024-09-10 12:00:00,2024-09-10 12:00:00,DEV_001,28,66,42
DEV_001_2024-09-10 16:00:00,2024-09-10 16:00:00,DEV_001,45,62,57
DEV_001_2024-09-10 20:00:00,2024-09-10 20:00:00,DEV_001,6,28,28
DEV_001_2024-09-11 00:00:00,2024-09-11 00:00:00,DEV_001,44,84,30
DEV_001_2024-09-11 04:00:00,2024-09-11 04:00:00,DEV_001,62,75,92
DEV_001_2024-09-11 08:00:00,2024-09-11 08:00:00,DEV_001,89,62,97
DEV_001_2024-09-11 12:00:00,2024-09-11 12:00:00,DEV_001,1,27,62
DEV_001_2024-09-11 16:00:00,2024-09-11 16:00:00,DEV_001,77,3,70
DEV_001_2024-09-11 20:00:00,2024-09-11 20:00:00,DEV_001,72,27,9
DEV_001_2024-09-12 00:00:00,2024-09-12 00:00:00,DEV_001,62,37,97
DEV_001_2024-09-12 04:00:00,2024-09-12 04:00:00,DEV_001,51,44,24
DEV_001_2024-09-12 08:00:00,2024-09-12 08:00:00,DEV_001,79,59,32
DEV_001_2024-09-12 12:00:00,2024-09-12 12:00:00,DEV_001,96,88,52
DEV_001_2024-09-12 16:00:00,2024-09-12 16:00:00,DEV_001,62,58,52
DEV_001_2024-09-12 20:00:00,2024-09-12 20:00:00,DEV_001,12,39,2
DEV_001_2024-09-13 00:00:00,2024-09-13 00:00:00,DEV_001,3,56,81
DEV_001_2024-09-13 04:00:00,2024-09-13 04:00:00,DEV_001,59,2,2
DEV_001_2024-09-13 08:00:00,2024-09-13 08:00:00,DEV_001,92,54,87
DEV_001_2024-09-13 12:00:00,2024-09-13 12:00:00,DEV_001,96,97,1
DEV_001_2024-09-13 16:00:00,2024-09-13 16:00:00,DEV_001,19,2,53
DEV_001_2024-09-13 20:00:00,2024-09-13 20:00:00,DEV_001,44,90,32
DEV_001_2024-09-14 00:00:00,2024-09-14 00:00:00,DEV_001,70,32,68
DEV_001_2024-09-14 04:00:00,2024-09-14 04:00:00,DEV_001,55,75,56
DEV_001_2024-09-14 08:00:00,2024-09-14 08:00:00,DEV_001,17,38,24
DEV_001_2024-09-14 12:00:00,2024-09-14 12:00:00,DEV_001,69,98,70
DEV_001_2024-09-14 16:00:00,2024-09-14 16:00:00,DEV_001,86,11,16
DEV_001_2024-09-14 20:00:00,2024-09-14 20:00:00,DEV_001,97,73,59
DEV_001_2024-09-15 00:00:00,2024-09-15 00:00:00,DEV_001,70,80,93
DEV_001_2024-09-15 04:00:00,2024-09-15 04:00:00,DEV_001,3,20,59
DEV_001_2024-09-15 08:00:00,2024-09-15 08:00:00,DEV_001,36,19,90
DEV_001_2024-09-15 12:00:00,2024-09-15 12:00:00,DEV_001,67,19,20
DEV_001_2024-09-15 16:00:00,2024-09-15 16:00:00,DEV_001,96,71,52
DEV_001_2024-09-15 20:00:00,2024-09-15 20:00:00,DEV_001,33,40,39
DEV_001_2024-09-16 00:00:00,2024-09-16 00:00:00,DEV_001,82,1,11
DEV_001_2024-09-16 04:00:00,2024-09-16 04:00:00,DEV_001,92,57,89
DEV_001_2024-09-16 08:00:00,2024-09-16 08:00:00,DEV_001,50,23,31
